1441;Valeyres-sous-Montagny;6.5909126743;46.7966218925;
1443;Champvent;6.5466319564;46.7666772331;
1445;Vuiteboeuf;6.5507188121;46.7926916703;
1446;Baulmes;6.5341945704;46.7751930892;
1463;Rovray;6.7530871965;46.779201035;
1474;Châbles FR;6.821551014;46.8317645987;
1541;Bussy FR;6.8809317766;46.8263002788;
1484;Aumont;6.8638914598;46.784404677;
1485;Nuvilly;6.8515638388;46.7858983571;
1538;Treytorrens (Payerne);6.7976295241;46.7618631346;
1512;Chavannes-sur-Moudon;6.7983626529;46.6489962489;
1514;Bussy-sur-Moudon;6.8053149552;46.6970094451;
1527;Villeneuve FR;6.8660252074;46.7328171272;
1528;Surpierre;6.8569442111;46.7372609028;
1534;Sassel;6.867528727;46.7877295144;
1536;Combremont-le-Petit;6.7844251195;46.7354422217;
1545;Chevroux;6.9259193589;46.8926680923;
1551;Vers-chez-Perrin;6.938728645;46.7815093999;
1554;Sédeilles;6.9221468185;46.7235498269;
1562;Corcelles-près-Payerne;6.9709982325;46.8260706999;
1564;Domdidier;7.0212881185;46.8766819792;
1567;Delley;6.9643425261;46.9022879604;
1568;Portalban;6.9497050816;46.9012253598;
1583;Villarepos;7.0799679521;46.8961135659;
1587;Montmagny;7.0000123055;46.9298733593;
1589;Chabrey;6.9617752513;46.9274300289;
1587;Constantine;7.0278761855;46.902170481;
1610;Châtillens;6.7944497035;46.5512762802;
1071;Chexbres;6.7795329422;46.4794269363;
1072;Forel (Lavaux);6.7509575863;46.5668260381;
1615;Bossonnens;6.8542738375;46.541400274;
1624;La Verrerie;6.9262379012;46.587240362;
1628;Vuadens;6.9720437921;46.5938980722;
1643;Gumefens;7.0754020546;46.6668279427;
1644;Avry-devant-Pont;7.0934068928;46.6738570534;
1646;Echarlens;7.0922302264;46.658775614;
1647;Corbières;7.0956330201;46.6552684507;
1656;Jaun;7.2507622215;46.622460049;
1652;Botterens;7.1028568373;46.6121517179;
1638;Morlon;7.0768920155;46.6206786672;
1637;Charmey (Gruyère);7.2442623496;46.6533992353;
1663;Gruyères;7.0910856608;46.5738264859;
1666;Grandvillard;7.0670004632;46.5278176395;
1675;Vauderens;6.8515397329;46.6150523673;
1674;Vuarmarens;6.8190446454;46.6338981558;
1682;Prévonloup;6.8934749478;46.6998578294;
1683;Brenles;6.8535255716;46.6554592882;
1694;Orsonnens;6.9868174939;46.700534015;
1687;Estévenens;6.9537988879;46.6765423564;
1686;Grangettes-près-Romont;6.9999458491;46.6575799223;
1689;Le Châtelard-près-Romont;7.0128547527;46.6637568764;
1688;Sommentier;6.9169949861;46.6262739728;
1687;Vuisternens-devant-Romont;6.9457420571;46.6377425286;
1608;Oron-le-Châtel;6.8472379249;46.5649662784;
1611;Le Crêt-près-Semsales;6.9492031426;46.6070012017;
1697;La Joux FR;6.9418563428;46.6170902689;
1699;Bouloz;6.8918827487;46.6057659919;
1763;Granges-Paccot;7.1711620319;46.8235967585;
1733;Treyvaux;7.1926061919;46.7007435106;
1720;Chésopelloz;7.0802032713;46.8013365193;
1713;St. Antoni;7.2890816706;46.8048319554;
1715;Alterswil FR;7.2959262831;46.7654690495;
1725;Posieux;7.0958826608;46.7559697513;
1726;Farvagny-le-Grand;7.0608756167;46.7271117652;
1746;Prez-vers-Noréaz;7.0084589981;46.7719052728;
